id,name,filename,status,source_limited,removed_unrendered_widget_comments,repaired_malformed_preheaders,removed_broken_media,removed_legacy_header_rows,removed_legacy_footer_blocks
214990267399,Newsletter -- Customer Story -- Week 10 -- Customer Story,214990267399_Newsletter----Customer-Story----Week-10----Customer-Story.html,rebranded-review-required,True,0,0,1,0,1
214990267402,Win-back -- Week 12 -- Winback -- Reengagement Push,214990267402_Win-back----Week-12----Winback----Reengagement-Push.html,rebranded-review-required,True,0,0,1,0,1
214990267405,Newsletter -- Offer -- Week 18 -- Spring Seasonal Promo,214990267405_Newsletter----Offer----Week-18----Spring-Seasonal-Promo.html,rebranded-review-required,True,0,0,1,0,1
214990267438,Consultation -- Day 90 -- Consultation Follow-Up -- Day 90 (Reengagement),214990267438_Consultation----Day-90----Consultation-Follow-Up----Day-90-Reengagement.html,rebranded-local,False,0,0,0,0,1
214990267441,New Customer -- Email 7 of 8 -- New Customer Onboarding -- Styling And Removal,214990267441_New-Customer----Email-7-of-8----New-Customer-Onboarding----Styling-And-Removal.html,rebranded-local,False,0,0,0,1,2
214990267444,Newsletter -- Email 5 of 5 -- Newsletter Nurture -- Soft Consult Invite,214990267444_Newsletter----Email-5-of-5----Newsletter-Nurture----Soft-Consult-Invite.html,rebranded-local,False,0,0,0,1,2
214990267447,Reorder -- Email 4 of 4 -- Renewal -- Final Confirmation,214990267447_Reorder----Email-4-of-4----Renewal----Final-Confirmation.html,rebranded-local,False,0,0,0,1,2
214990267453,Payment Recovery -- Email 1 of 2 -- Payment Recovery -- Payment Failed,214990267453_Payment-Recovery----Email-1-of-2----Payment-Recovery----Payment-Failed.html,rebranded-local,False,0,0,0,1,2
214990267456,Consultation -- Final -- Consultation Follow-Up -- Final Close Loop,214990267456_Consultation----Final----Consultation-Follow-Up----Final-Close-Loop.html,rebranded-local,False,0,0,0,0,1
214990267459,New Customer -- Email 8 of 8 -- New Customer Onboarding -- Review & Next Steps,214990267459_New-Customer----Email-8-of-8----New-Customer-Onboarding----Review-Next-Steps.html,rebranded-local,False,0,0,0,1,2
214990267462,Welcome -- Email 3 of 5 -- Lead Welcome -- Base Types Educational,214990267462_Welcome----Email-3-of-5----Lead-Welcome----Base-Types-Educational.html,rebranded-local,False,0,0,0,1,2
214990267465,Win-back -- Email 3 of 4 -- Winback -- Specific Offer,214990267465_Win-back----Email-3-of-4----Winback----Specific-Offer.html,rebranded-local,False,0,0,0,1,2
214990267468,Reorder -- Email 1 of 3 -- Replacement Window -- Mid Cycle Care Check,214990267468_Reorder----Email-1-of-3----Replacement-Window----Mid-Cycle-Care-Check.html,rebranded-local,False,0,0,0,1,2
214990273171,Payment Recovery -- Email 2 of 2 -- Payment Recovery -- Grace Period,214990273171_Payment-Recovery----Email-2-of-2----Payment-Recovery----Grace-Period.html,rebranded-local,False,0,0,0,1,2
216507598990,Consultation -- Follow-Up -- Day 10,216507598990_Consultation----Follow-Up----Day-10.html,rebranded-local,False,0,0,0,0,1
216517553225,Consultation -- Follow-Up -- Day 5,216517553225_Consultation----Follow-Up----Day-5.html,rebranded-local,False,0,0,0,0,1
216517564345,Consultation -- Recap -- Standard,216517564345_Consultation----Recap----Standard.html,rebranded-local,False,0,0,0,0,1
216536080013,Launch Day -- New Prospect -- Audience A -- Offer Bottom,216536080013_Launch-Day----New-Prospect----Audience-A----Offer-Bottom.html,rebranded-review-required,True,10,0,0,0,1
216536082757,Launch Day -- Existing Customers -- Audience B -- Offer Top,216536082757_Launch-Day----Existing-Customers----Audience-B----Offer-Top.html,rebranded-review-required,True,10,0,0,0,1
216536082761,Launch Day -- New Prospect -- Audience B -- Offer Top,216536082761_Launch-Day----New-Prospect----Audience-B----Offer-Top.html,rebranded-review-required,True,10,0,0,0,1
216536083877,Launch Day -- Existing Customers -- Audience A -- Offer Bottom,216536083877_Launch-Day----Existing-Customers----Audience-A----Offer-Bottom.html,rebranded-review-required,True,18,0,0,0,1
216544473180,Post-Launch -- Week 5 -- Invitation -- Ready When You Are,216544473180_Post-Launch----Week-5----Invitation----Ready-When-You-Are.html,rebranded-review-required,True,8,0,0,0,1
216613097908,Abandoned Cart -- Rebuild -- Email 1 -- WIP,216613097908_Abandoned-Cart----Rebuild----Email-1----WIP.html,rebranded-review-required,True,18,0,0,0,1
